file,class,method,constructor,line,cbo,wmc,rfc,loc,returns,variables,parameters,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocks,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\Projetos\mip-serverless-tcc\front-end\mip\src\main\java\br\edu\utfpr\cp\emater\midmipsystem\entity\base\Region.java,br.edu.utfpr.cp.emater.midmipsystem.entity.base.Region,removeCity/1[br.edu.utfpr.cp.emater.midmipsystem.entity.base.City],false,68,2,2,3,4,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,8,1,0
D:\Projetos\mip-serverless-tcc\front-end\mip\src\main\java\br\edu\utfpr\cp\emater\midmipsystem\entity\base\Region.java,br.edu.utfpr.cp.emater.midmipsystem.entity.base.Region,getMacroRegionName/0,false,83,0,2,2,4,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,5,1,0
D:\Projetos\mip-serverless-tcc\front-end\mip\src\main\java\br\edu\utfpr\cp\emater\midmipsystem\entity\base\Region.java,br.edu.utfpr.cp.emater.midmipsystem.entity.base.Region,setName/1[java.lang.String],false,56,0,1,2,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0
D:\Projetos\mip-serverless-tcc\front-end\mip\src\main\java\br\edu\utfpr\cp\emater\midmipsystem\entity\base\Region.java,br.edu.utfpr.cp.emater.midmipsystem.entity.base.Region,isThereACityContainer/0,false,75,0,2,1,3,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,6,2,0
D:\Projetos\mip-serverless-tcc\front-end\mip\src\main\java\br\edu\utfpr\cp\emater\midmipsystem\entity\base\Region.java,br.edu.utfpr.cp.emater.midmipsystem.entity.base.Region,addCity/1[br.edu.utfpr.cp.emater.midmipsystem.entity.base.City],false,60,2,2,4,4,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,8,1,0
D:\Projetos\mip-serverless-tcc\front-end\mip\src\main\java\br\edu\utfpr\cp\emater\midmipsystem\entity\base\State.java,br.edu.utfpr.cp.emater.midmipsystem.entity.base.State,getName/0,false,16,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
D:\Projetos\mip-serverless-tcc\front-end\mip\src\main\java\br\edu\utfpr\cp\emater\midmipsystem\entity\base\State.java,br.edu.utfpr.cp.emater.midmipsystem.entity.base.State,State/1[java.lang.String],true,12,0,1,0,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0
D:\Projetos\mip-serverless-tcc\front-end\mip\src\main\java\br\edu\utfpr\cp\emater\midmipsystem\entity\base\State.java,br.edu.utfpr.cp.emater.midmipsystem.entity.base.State,setName/1[java.lang.String],false,20,0,1,0,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0
D:\Projetos\mip-serverless-tcc\front-end\mip\src\main\java\br\edu\utfpr\cp\emater\midmipsystem\entity\base\Supervisor.java,br.edu.utfpr.cp.emater.midmipsystem.entity.base.Supervisor,getMacroRegionId/0,false,59,0,2,2,4,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,6,1,0
D:\Projetos\mip-serverless-tcc\front-end\mip\src\main\java\br\edu\utfpr\cp\emater\midmipsystem\entity\base\Supervisor.java,br.edu.utfpr.cp.emater.midmipsystem.entity.base.Supervisor,getIdAsString/0,false,66,0,2,2,4,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,5,1,0
D:\Projetos\mip-serverless-tcc\front-end\mip\src\main\java\br\edu\utfpr\cp\emater\midmipsystem\entity\base\Supervisor.java,br.edu.utfpr.cp.emater.midmipsystem.entity.base.Supervisor,getMacroRegionName/0,false,52,0,2,2,4,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,5,1,0
