file,class,type,cbo,wmc,dit,rfc,lcom,totalMethods,staticMethods,publicMethods,privateMethods,protectedMethods,defaultMethods,abstractMethods,finalMethods,synchronizedMethods,totalFields,staticFields,publicFields,privateFields,protectedFields,defaultFields,finalFields,synchronizedFields,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocks,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\Projetos\mip-serverless-tcc\front-end\mip\src\main\java\br\edu\utfpr\cp\emater\midmipsystem\entity\mid\MIDRustSample.java,br.edu.utfpr.cp.emater.midmipsystem.entity.mid.MIDRustSample,class,17,1,2,3,0,1,1,1,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,14,1,0,0,0,0,1,0,1,0,6,0,0,0,0,37,1,0
D:\Projetos\mip-serverless-tcc\front-end\mip\src\main\java\br\edu\utfpr\cp\emater\midmipsystem\entity\mid\MIDSampleLeafInspectionOccurrence.java,br.edu.utfpr.cp.emater.midmipsystem.entity.mid.MIDSampleLeafInspectionOccurrence,class,10,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,17,1,0
D:\Projetos\mip-serverless-tcc\front-end\mip\src\main\java\br\edu\utfpr\cp\emater\midmipsystem\entity\mid\MIDSampleSporeCollectorOccurrence.java,br.edu.utfpr.cp.emater.midmipsystem.entity.mid.MIDSampleSporeCollectorOccurrence,class,12,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,4,0,0,0,0,21,1,0
D:\Projetos\mip-serverless-tcc\front-end\mip\src\main\java\br\edu\utfpr\cp\emater\midmipsystem\entity\mip\GrowthPhase.java,br.edu.utfpr.cp.emater.midmipsystem.entity.mip.GrowthPhase,enum,0,3,1,0,0,3,0,2,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,11,1,0,0,0,0,50,0,2,0,1,0,0,0,0,46,1,0
D:\Projetos\mip-serverless-tcc\front-end\mip\src\main\java\br\edu\utfpr\cp\emater\midmipsystem\entity\mip\MIPSample.java,br.edu.utfpr.cp.emater.midmipsystem.entity.mip.MIPSample,class,24,52,2,54,190,20,1,20,0,0,0,0,0,0,8,0,0,8,0,0,0,0,18,180,49,0,25,0,2,0,12,7,2,17,1,0,0,2,59,1,0
D:\Projetos\mip-serverless-tcc\front-end\mip\src\main\java\br\edu\utfpr\cp\emater\midmipsystem\entity\mip\MIPSampleNaturalPredatorOccurrence.java,br.edu.utfpr.cp.emater.midmipsystem.entity.mip.MIPSampleNaturalPredatorOccurrence,class,9,2,1,2,0,1,0,1,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,8,2,0,1,0,0,0,0,0,0,2,1,0,0,0,16,1,0
D:\Projetos\mip-serverless-tcc\front-end\mip\src\main\java\br\edu\utfpr\cp\emater\midmipsystem\entity\mip\MIPSamplePestDiseaseOccurrence.java,br.edu.utfpr.cp.emater.midmipsystem.entity.mip.MIPSamplePestDiseaseOccurrence,class,9,2,1,2,0,1,0,1,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,8,2,0,1,0,0,0,0,0,0,2,1,0,0,0,15,1,0
D:\Projetos\mip-serverless-tcc\front-end\mip\src\main\java\br\edu\utfpr\cp\emater\midmipsystem\entity\mip\MIPSamplePestOccurrence.java,br.edu.utfpr.cp.emater.midmipsystem.entity.mip.MIPSamplePestOccurrence,class,9,6,1,4,3,3,0,3,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,16,6,0,3,0,0,0,0,0,0,2,1,0,0,0,16,1,0
D:\Projetos\mip-serverless-tcc\front-end\mip\src\main\java\br\edu\utfpr\cp\emater\midmipsystem\entity\mip\Pest.java,br.edu.utfpr.cp.emater.midmipsystem.entity.mip.Pest,class,13,8,2,13,6,5,1,5,0,0,0,0,0,0,4,0,0,2,2,0,0,0,3,29,6,0,3,0,0,4,3,3,0,5,1,0,0,0,31,1,0
D:\Projetos\mip-serverless-tcc\front-end\mip\src\main\java\br\edu\utfpr\cp\emater\midmipsystem\entity\mip\PestDisease.java,br.edu.utfpr.cp.emater.midmipsystem.entity.mip.PestDisease,class,11,1,2,2,0,1,1,1,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,10,1,0,0,0,0,1,2,1,0,3,0,0,0,0,23,1,0
D:\Projetos\mip-serverless-tcc\front-end\mip\src\main\java\br\edu\utfpr\cp\emater\midmipsystem\entity\mip\PestNaturalPredator.java,br.edu.utfpr.cp.emater.midmipsystem.entity.mip.PestNaturalPredator,class,11,3,2,5,1,3,1,3,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,16,2,0,0,0,0,1,2,2,0,3,0,0,0,0,28,1,0
